,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
45069,2020-02-15,6.0,1.0,10.0,0.0,-1.0
45070,2020-02-16,7.0,10.0,6.0,-1.0,0.0
45071,2020-02-17,2.0,2.0,1.0,-2.0,0.0
45072,2020-02-18,2.0,2.0,1.0,-1.0,1.0
45073,2020-02-19,3.0,0.0,-1.0,-1.0,1.0
45074,2020-02-20,2.0,-1.0,3.0,-4.0,1.0
45075,2020-02-21,2.0,2.0,-1.0,-8.0,2.0
45076,2020-02-22,-1.0,-2.0,9.0,-3.0,0.0
45077,2020-02-23,0.0,9.0,2.0,-3.0,0.0
45078,2020-02-24,2.0,-5.0,-5.0,-20.0,4.0
45079,2020-02-25,-1.0,-1.0,-5.0,-13.0,4.0
45080,2020-02-26,-3.0,0.0,-7.0,-5.0,2.0
45081,2020-02-27,-5.0,3.0,-5.0,-4.0,2.0
45082,2020-02-28,3.0,11.0,-2.0,-5.0,2.0
45083,2020-02-29,-1.0,5.0,1.0,-1.0,1.0
45084,2020-03-01,8.0,18.0,4.0,1.0,0.0
45085,2020-03-02,2.0,8.0,-1.0,0.0,0.0
45086,2020-03-03,0.0,5.0,-3.0,0.0,1.0
45087,2020-03-04,2.0,2.0,-4.0,0.0,1.0
45088,2020-03-05,-4.0,0.0,-5.0,0.0,1.0
45089,2020-03-06,-3.0,1.0,-7.0,-1.0,2.0
45090,2020-03-07,1.0,0.0,-2.0,0.0,1.0
45091,2020-03-08,12.0,19.0,2.0,1.0,0.0
45092,2020-03-09,-1.0,2.0,-5.0,-1.0,1.0
45093,2020-03-10,-7.0,-2.0,-8.0,-1.0,3.0
45094,2020-03-11,-1.0,2.0,-7.0,-1.0,2.0
45095,2020-03-12,-7.0,6.0,-9.0,-2.0,2.0
45096,2020-03-13,-9.0,19.0,-15.0,-4.0,4.0
45097,2020-03-14,-17.0,9.0,-19.0,-3.0,4.0
45098,2020-03-15,-12.0,13.0,-16.0,-5.0,2.0
45099,2020-03-16,-7.0,22.0,-25.0,-18.0,6.0
45100,2020-03-17,-21.0,11.0,-35.0,-25.0,10.0
45101,2020-03-18,-34.0,5.0,-39.0,-30.0,11.0
45102,2020-03-19,-45.0,-3.0,-46.0,-33.0,14.0
45103,2020-03-20,-50.0,-2.0,-52.0,-36.0,16.0
45104,2020-03-21,-69.0,-24.0,-59.0,-31.0,13.0
45105,2020-03-22,-71.0,-35.0,-58.0,-34.0,10.0
45106,2020-03-23,-57.0,-16.0,-56.0,-41.0,16.0
45107,2020-03-24,-59.0,-18.0,-56.0,-43.0,18.0
45108,2020-03-25,-58.0,-18.0,-56.0,-43.0,18.0
45109,2020-03-26,-59.0,-16.0,-57.0,-44.0,18.0
45110,2020-03-27,-59.0,-14.0,-56.0,-44.0,19.0
45111,2020-03-28,-66.0,-21.0,-53.0,-33.0,12.0
45112,2020-03-29,-77.0,-51.0,-68.0,-39.0,11.0
45113,2020-03-30,-54.0,-16.0,-56.0,-43.0,17.0
45114,2020-03-31,-53.0,-12.0,-53.0,-43.0,17.0
45115,2020-04-01,-52.0,-13.0,-53.0,-43.0,17.0
45116,2020-04-02,-54.0,-11.0,-54.0,-43.0,17.0
45117,2020-04-03,-57.0,-11.0,-57.0,-44.0,19.0
45118,2020-04-04,-63.0,-16.0,-52.0,-31.0,12.0
45119,2020-04-05,-58.0,-13.0,-47.0,-30.0,8.0
45120,2020-04-06,-43.0,-6.0,-49.0,-44.0,15.0
45121,2020-04-07,-44.0,-2.0,-50.0,-45.0,16.0
45122,2020-04-08,-42.0,10.0,-49.0,-45.0,15.0
45123,2020-04-09,-40.0,14.0,-49.0,-47.0,15.0
45124,2020-04-10,-80.0,-92.0,-69.0,-86.0,29.0
45125,2020-04-11,-56.0,0.0,-48.0,-29.0,10.0
45126,2020-04-12,-63.0,-23.0,-47.0,-26.0,6.0
45127,2020-04-13,-81.0,-93.0,-73.0,-88.0,28.0
45128,2020-04-14,-45.0,1.0,-52.0,-45.0,17.0
45129,2020-04-15,-45.0,-9.0,-49.0,-44.0,16.0
45130,2020-04-16,-53.0,-3.0,-48.0,-43.0,16.0
45131,2020-04-17,-55.0,-4.0,-49.0,-43.0,16.0
45132,2020-04-18,-65.0,-14.0,-46.0,-22.0,10.0
45133,2020-04-19,-59.0,-7.0,-44.0,-22.0,7.0
45134,2020-04-20,-44.0,-9.0,-44.0,-36.0,13.0
45135,2020-04-21,-47.0,-8.0,-44.0,-35.0,14.0
45136,2020-04-22,-46.0,-8.0,-43.0,-35.0,13.0
45137,2020-04-23,-47.0,-6.0,-42.0,-35.0,13.0
45138,2020-04-24,-50.0,-7.0,-46.0,-36.0,14.0
45139,2020-04-25,-57.0,-10.0,-41.0,-19.0,9.0
45140,2020-04-26,-52.0,3.0,-39.0,-18.0,6.0
45141,2020-04-27,-43.0,-13.0,-41.0,-33.0,12.0
45142,2020-04-28,-48.0,-10.0,-43.0,-33.0,13.0
45143,2020-04-29,-46.0,1.0,-43.0,-33.0,13.0
45144,2020-04-30,-34.0,19.0,-39.0,-34.0,12.0
45145,2020-05-01,-82.0,-92.0,-67.0,-84.0,28.0
45146,2020-05-02,-46.0,3.0,-42.0,-20.0,9.0
45147,2020-05-03,-57.0,4.0,-37.0,-18.0,6.0
45148,2020-05-04,-32.0,-5.0,-38.0,-30.0,11.0
45149,2020-05-05,-36.0,-6.0,-37.0,-29.0,12.0
45150,2020-05-06,-33.0,-5.0,-35.0,-28.0,11.0
45151,2020-05-07,-33.0,-3.0,-35.0,-28.0,11.0
45152,2020-05-08,-36.0,-5.0,-37.0,-31.0,11.0
45153,2020-05-09,-40.0,-1.0,-28.0,-8.0,5.0
45154,2020-05-10,-50.0,9.0,-33.0,-3.0,4.0
45155,2020-05-11,-34.0,-12.0,-41.0,-28.0,11.0
45156,2020-05-12,-31.0,-4.0,-35.0,-26.0,11.0
45157,2020-05-13,-31.0,-7.0,-36.0,-26.0,11.0
45158,2020-05-14,-29.0,-4.0,-35.0,-26.0,10.0
45159,2020-05-15,-29.0,-3.0,-35.0,-26.0,10.0
45160,2020-05-16,-35.0,-6.0,-28.0,-5.0,5.0
45161,2020-05-17,-36.0,16.0,-25.0,-1.0,3.0
45162,2020-05-18,-15.0,-3.0,-30.0,-26.0,8.0
45163,2020-05-19,-17.0,2.0,-30.0,-25.0,9.0
45164,2020-05-20,-6.0,34.0,-25.0,-26.0,6.0
45165,2020-05-21,-55.0,-87.0,-46.0,-81.0,18.0
45166,2020-05-22,-19.0,1.0,-40.0,-51.0,14.0
45167,2020-05-23,-35.0,-9.0,-35.0,-8.0,7.0
45168,2020-05-24,-42.0,3.0,-31.0,-4.0,3.0
45169,2020-05-25,-16.0,-2.0,-31.0,-27.0,8.0
45170,2020-05-26,-18.0,-4.0,-28.0,-23.0,8.0
45171,2020-05-27,-15.0,-3.0,-27.0,-23.0,7.0
45172,2020-05-28,-16.0,2.0,-27.0,-24.0,8.0
45173,2020-05-29,-15.0,6.0,-25.0,-25.0,7.0
45174,2020-05-30,-23.0,4.0,-17.0,5.0,2.0
45175,2020-05-31,-19.0,32.0,-13.0,8.0,0.0
45176,2020-06-01,-45.0,-86.0,-42.0,-80.0,16.0
45177,2020-06-02,-6.0,15.0,-22.0,-26.0,6.0
45178,2020-06-03,-11.0,1.0,-24.0,-25.0,7.0
45179,2020-06-04,-20.0,-2.0,-31.0,-26.0,9.0
45180,2020-06-05,-20.0,-2.0,-32.0,-26.0,9.0
45181,2020-06-06,-25.0,-5.0,-24.0,1.0,4.0
45182,2020-06-07,-31.0,11.0,-27.0,3.0,3.0
45183,2020-06-08,-8.0,-4.0,-26.0,-25.0,7.0
45184,2020-06-09,-12.0,-2.0,-27.0,-25.0,8.0
45185,2020-06-10,-5.0,16.0,-24.0,-25.0,6.0
45186,2020-06-11,-36.0,-54.0,-40.0,-59.0,16.0
45187,2020-06-12,-8.0,3.0,-25.0,-37.0,7.0
45188,2020-06-13,-26.0,-9.0,-21.0,4.0,2.0
45189,2020-06-14,-33.0,8.0,-26.0,5.0,2.0
45190,2020-06-15,-10.0,-2.0,-24.0,-23.0,6.0
45191,2020-06-16,-11.0,0.0,-22.0,-21.0,6.0
45192,2020-06-17,-10.0,-3.0,-22.0,-21.0,6.0
45193,2020-06-18,-12.0,-2.0,-23.0,-22.0,6.0
45194,2020-06-19,-13.0,-1.0,-23.0,-23.0,6.0
45195,2020-06-20,-20.0,-5.0,-18.0,7.0,2.0
45196,2020-06-21,-8.0,33.0,-11.0,15.0,-1.0
45197,2020-06-22,-6.0,-2.0,-21.0,-23.0,5.0
45198,2020-06-23,-6.0,-1.0,-19.0,-22.0,5.0
45199,2020-06-24,-6.0,-1.0,-19.0,-20.0,5.0
