var1,date,retail_and_recreation,grocery_and_pharmacy,transit,workplaces,residential
36159,2020-02-15,6.0,1.0,10.0,0.0,-1.0
36160,2020-02-16,7.0,10.0,6.0,-1.0,0.0
36161,2020-02-17,2.0,2.0,1.0,-2.0,0.0
36162,2020-02-18,2.0,2.0,1.0,-1.0,1.0
36163,2020-02-19,3.0,0.0,-1.0,-1.0,1.0
36164,2020-02-20,2.0,-1.0,3.0,-4.0,1.0
36165,2020-02-21,2.0,2.0,-1.0,-8.0,2.0
36166,2020-02-22,-1.0,-2.0,9.0,-3.0,0.0
36167,2020-02-23,0.0,9.0,2.0,-3.0,0.0
36168,2020-02-24,2.0,-5.0,-5.0,-20.0,4.0
36169,2020-02-25,-1.0,-1.0,-5.0,-13.0,4.0
36170,2020-02-26,-3.0,0.0,-7.0,-5.0,2.0
36171,2020-02-27,-5.0,3.0,-5.0,-4.0,2.0
36172,2020-02-28,3.0,11.0,-2.0,-5.0,2.0
36173,2020-02-29,-1.0,5.0,1.0,-1.0,1.0
36174,2020-03-01,8.0,18.0,4.0,1.0,0.0
36175,2020-03-02,2.0,8.0,-1.0,0.0,0.0
36176,2020-03-03,0.0,5.0,-3.0,0.0,1.0
36177,2020-03-04,2.0,2.0,-4.0,0.0,1.0
36178,2020-03-05,-4.0,0.0,-5.0,0.0,1.0
36179,2020-03-06,-3.0,1.0,-7.0,-1.0,2.0
36180,2020-03-07,1.0,0.0,-2.0,0.0,1.0
36181,2020-03-08,12.0,19.0,2.0,1.0,0.0
36182,2020-03-09,-1.0,2.0,-5.0,-1.0,1.0
36183,2020-03-10,-7.0,-2.0,-8.0,-1.0,3.0
36184,2020-03-11,-1.0,2.0,-7.0,-1.0,2.0
36185,2020-03-12,-7.0,6.0,-9.0,-2.0,2.0
36186,2020-03-13,-9.0,19.0,-15.0,-4.0,4.0
36187,2020-03-14,-17.0,9.0,-19.0,-3.0,4.0
36188,2020-03-15,-12.0,13.0,-16.0,-5.0,2.0
36189,2020-03-16,-7.0,22.0,-25.0,-18.0,6.0
36190,2020-03-17,-21.0,11.0,-35.0,-25.0,10.0
36191,2020-03-18,-34.0,5.0,-39.0,-30.0,11.0
36192,2020-03-19,-45.0,-3.0,-46.0,-33.0,14.0
36193,2020-03-20,-50.0,-2.0,-52.0,-36.0,16.0
36194,2020-03-21,-69.0,-24.0,-59.0,-31.0,13.0
36195,2020-03-22,-71.0,-35.0,-58.0,-34.0,10.0
36196,2020-03-23,-57.0,-16.0,-56.0,-41.0,16.0
36197,2020-03-24,-59.0,-18.0,-56.0,-43.0,18.0
36198,2020-03-25,-58.0,-18.0,-56.0,-43.0,18.0
36199,2020-03-26,-59.0,-16.0,-57.0,-44.0,18.0
36200,2020-03-27,-59.0,-14.0,-56.0,-44.0,19.0
36201,2020-03-28,-66.0,-21.0,-53.0,-33.0,12.0
36202,2020-03-29,-77.0,-51.0,-68.0,-39.0,11.0
36203,2020-03-30,-54.0,-16.0,-56.0,-43.0,17.0
36204,2020-03-31,-53.0,-12.0,-53.0,-43.0,17.0
36205,2020-04-01,-52.0,-13.0,-53.0,-43.0,17.0
36206,2020-04-02,-54.0,-11.0,-54.0,-43.0,17.0
36207,2020-04-03,-57.0,-11.0,-57.0,-44.0,19.0
36208,2020-04-04,-63.0,-16.0,-52.0,-31.0,12.0
36209,2020-04-05,-58.0,-13.0,-47.0,-30.0,8.0
36210,2020-04-06,-43.0,-6.0,-49.0,-44.0,15.0
36211,2020-04-07,-44.0,-2.0,-50.0,-45.0,16.0
36212,2020-04-08,-42.0,10.0,-49.0,-45.0,15.0
36213,2020-04-09,-40.0,14.0,-49.0,-47.0,15.0
36214,2020-04-10,-80.0,-92.0,-69.0,-86.0,29.0
36215,2020-04-11,-56.0,0.0,-48.0,-29.0,10.0
36216,2020-04-12,-63.0,-23.0,-47.0,-26.0,6.0
36217,2020-04-13,-81.0,-93.0,-73.0,-88.0,28.0
36218,2020-04-14,-45.0,1.0,-52.0,-45.0,17.0
36219,2020-04-15,-45.0,-9.0,-49.0,-44.0,16.0
36220,2020-04-16,-53.0,-3.0,-48.0,-43.0,16.0
36221,2020-04-17,-55.0,-4.0,-49.0,-43.0,16.0
36222,2020-04-18,-65.0,-14.0,-46.0,-22.0,10.0
36223,2020-04-19,-59.0,-7.0,-44.0,-22.0,7.0
36224,2020-04-20,-44.0,-9.0,-44.0,-36.0,13.0
36225,2020-04-21,-47.0,-8.0,-44.0,-35.0,14.0
36226,2020-04-22,-46.0,-8.0,-43.0,-35.0,13.0
36227,2020-04-23,-47.0,-6.0,-42.0,-35.0,13.0
36228,2020-04-24,-50.0,-7.0,-46.0,-36.0,14.0
36229,2020-04-25,-57.0,-10.0,-41.0,-19.0,9.0
36230,2020-04-26,-52.0,3.0,-39.0,-18.0,6.0
36231,2020-04-27,-43.0,-13.0,-41.0,-33.0,12.0
36232,2020-04-28,-48.0,-10.0,-43.0,-33.0,13.0
36233,2020-04-29,-46.0,1.0,-43.0,-33.0,13.0
36234,2020-04-30,-34.0,19.0,-39.0,-34.0,12.0
36235,2020-05-01,-82.0,-92.0,-67.0,-84.0,28.0
36236,2020-05-02,-46.0,3.0,-42.0,-20.0,9.0
36237,2020-05-03,-57.0,4.0,-37.0,-18.0,6.0
36238,2020-05-04,-32.0,-5.0,-38.0,-30.0,11.0
36239,2020-05-05,-36.0,-6.0,-37.0,-29.0,12.0
36240,2020-05-06,-33.0,-5.0,-35.0,-28.0,11.0
36241,2020-05-07,-33.0,-3.0,-35.0,-28.0,11.0
36242,2020-05-08,-36.0,-5.0,-37.0,-31.0,11.0
36243,2020-05-09,-40.0,-1.0,-28.0,-8.0,5.0
36244,2020-05-10,-50.0,9.0,-33.0,-3.0,4.0
36245,2020-05-11,-34.0,-12.0,-41.0,-28.0,11.0
36246,2020-05-12,-31.0,-4.0,-35.0,-26.0,11.0
36247,2020-05-13,-31.0,-7.0,-36.0,-26.0,11.0
36248,2020-05-14,-29.0,-4.0,-35.0,-26.0,10.0
36249,2020-05-15,-29.0,-3.0,-35.0,-26.0,10.0
36250,2020-05-16,-35.0,-6.0,-28.0,-5.0,5.0
36251,2020-05-17,-36.0,16.0,-25.0,-1.0,3.0
36252,2020-05-18,-15.0,-3.0,-30.0,-26.0,8.0
36253,2020-05-19,-17.0,2.0,-30.0,-25.0,9.0
36254,2020-05-20,-6.0,34.0,-25.0,-26.0,6.0
36255,2020-05-21,-55.0,-87.0,-46.0,-81.0,18.0
36256,2020-05-22,-19.0,1.0,-40.0,-51.0,14.0
36257,2020-05-23,-35.0,-9.0,-35.0,-8.0,7.0
36258,2020-05-24,-42.0,3.0,-31.0,-4.0,3.0
36259,2020-05-25,-16.0,-2.0,-31.0,-27.0,8.0
36260,2020-05-26,-18.0,-4.0,-28.0,-23.0,8.0
36261,2020-05-27,-15.0,-3.0,-27.0,-23.0,7.0
36262,2020-05-28,-16.0,2.0,-27.0,-24.0,8.0
36263,2020-05-29,-15.0,6.0,-25.0,-25.0,7.0
36264,2020-05-30,-23.0,4.0,-17.0,5.0,2.0
36265,2020-05-31,-19.0,32.0,-13.0,8.0,0.0
36266,2020-06-01,-45.0,-86.0,-42.0,-80.0,16.0
36267,2020-06-02,-6.0,15.0,-22.0,-26.0,6.0
